Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Brovelli, Andrea; Ding, Mingzhou; Ledberg, Anders; Chen, Yonghong; Nakamura, Richard; Bressler, Steven L; ",Beta oscillations in a large-scale sensorimotor cortical network: directional influences revealed by Granger causality,Proceedings of the National Academy of Sciences,101,26,9849-9854,2004,National Academy of Sciences
"Brovelli, Andrea; Lachaux, Jean-Philippe; Kahane, Philippe; Boussaoud, Driss; ",High gamma frequency oscillatory activity dissociates attention from intention in the human premotor cortex,Neuroimage,28,1,154-164,2005,Academic Press
"Battaglini, Piero Paolo; Muzur, Amir; Galletti, Claudio; Skrap, Miran; Brovelli, Andrea; Fattori, Patrizia; ",Effects of lesions to area V6A in monkeys,Experimental Brain Research,144,3,419-422,2002,
"Brovelli, Andrea; Battaglini, Piero Paolo; Naranjo, Jose Raul; Budai, Riccardo; ",Medium-range oscillatory network and the 20-Hz sensorimotor induced potential,Neuroimage,16,1,130-141,2002,Academic Press
"Allami, Nadia; Paulignan, Yves; Brovelli, Andrea; Boussaoud, Driss; ",Visuo-motor learning with combination of different rates of motor imagery and physical practice,Experimental Brain Research,184,,105-113,2008,Springer-Verlag
"Guy, CN; Brovelli, A; Chumillas, J; ",fMRI and EEG responses to periodic visual stimulation,Neuroimage,10,2,125-148,1999,Academic Press
"Naranjo, Jose Raul; Brovelli, Andrea; Longo, Renata; Budai, Riccardo; Kristeva, R; Battaglini, Piero Paolo; ",EEG dynamics of the frontoparietal network during reaching preparation in humans,Neuroimage,34,4,1673-1682,2007,Academic Press
"Brovelli, Andrea; Laksiri, Nadia; Nazarian, Bruno; Meunier, Martine; Boussaoud, Driss; ",Understanding the neural computations of arbitrary visuomotor learning through fMRI and associative learning theory,Cerebral Cortex,18,7,1485-1495,2008,Oxford University Press
"Salvador, Stefano; Brovelli, Andrea; Longo, Renata; ",A simple and fast technique for on-line fMRI data analysis,Magnetic resonance imaging,20,2,207-213,2002,Elsevier
"Monfardini, Elisabetta; Brovelli, Andrea; Boussaoud, Driss; Takerkart, Sylvain; Wicker, Bruno; ",I learned from what you did: Retrieving visuomotor associations learned by observation,Neuroimage,42,3,1207-1213,2008,Academic Press
"Brovelli, Andrea; Coquelin, Pierre-Arnaud; Boussaoud, Driss; ",Estimating the hidden learning representations,Journal of Physiology-Paris,101,1-3,110-117,2007,Elsevier
"Brovelli, Andrea; Nazarian, Bruno; Meunier, Martine; Boussaoud, Driss; ",Differential roles of caudate nucleus and putamen during instrumental learning,Neuroimage,57,4,1580-1590,2011,Academic Press
"Brovelli, A; Daprati, E; Naranjo, RH; Muzur, A; Longo, R; Battaglini, PP; ",A method for the discrimination between induced and evoked gamma band activity,2000 First International Conference Advances in Medical Signal and Information Processing (IEE Conf. Publ. No. 476),,,226-230,2000,IET
"Brovelli, Andrea; ",Statistical Analysis of Single-Trial Granger Causality Spectra,Computational and Mathematical Methods in Medicine,2012,,,2012,Hindawi Publishing Corporation
"Brovelli, Andrea; ",Cortical networks for sensorimotor and visuomotor processes in the human brain,,,,,2002,SISSA (PhD Thesis)
"Mahmoudi, Abdelhak; Takerkart, Sylvain; Regragui, Fakhita; Boussaoud, Driss; Brovelli, Andrea; ",Multivoxel pattern analysis for FMRI data: a review,Computational and mathematical methods in medicine,2012,,,2012,Hindawi
"Hadj-Bouziane, Fadila; Benatru, Isabelle; Brovelli, Andrea; Klinger, Hélène; Thobois, Stéphane; Broussolle, Emmanuel; Boussaoud, Driss; Meunier, Martine; ",Advanced Parkinson's disease effect on goal-directed and habitual processes involved in visuomotor associative learning,Frontiers in human neuroscience,6,,351,2013,Frontiers Media SA
"Kilavik, Bjørg Elisabeth; Zaepffel, Manuel; Brovelli, Andrea; MacKay, William A; Riehle, Alexa; ",The ups and downs of beta oscillations in sensorimotor cortex,Experimental neurology,245,,15-26,2013,Academic Press
"Monfardini, Elisabetta; Gazzola, Valeria; Boussaoud, Driss; Brovelli, Andrea; Keysers, Christian; Wicker, Bruno; ",Vicarious neural processing of outcomes during observational learning,PloS one,8,9,e73879,2013,Public Library of Science
